url,code,name,total_language_data_available,total_students,JK_GR3,GR4_GR6,GR7_GR8,female,male,primary_not_english,living_in_canada_less_than_2_years,living_in_canada_for_3_5_years
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5269,5269,Roden Public School,420,423,240,109,74,203,220,107,10,15
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=1166,1166,Rolph Road Elementary School,321,321,199,122,,161,160,75,7,14
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5270,5270,Rose Avenue Junior Public School,615,615,422,193,,291,324,506,64,131
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5271,5271,Rosedale Junior Public School,204,204,132,72,,99,104,97,16,20
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=6173,6173,Roselands Public School,317,317,154,,,147,170,139,6,11
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2029,2029,Rosethorn Junior School,339,339,248,,,158,181,142,2,3
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4721,4721,Rouge Valley Public School,230,230,110,46,74,125,105,112,0,25
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3240,3240,Roywood Public School,138,138,102,,,63,75,85,11,18
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5272,5272,Runnymede Junior and Senior Public School,908,908,437,294,177,458,450,176,14,10
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5273,5273,Ryerson Community School,293,293,113,71,109,141,152,167,48,39
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4725,4725,Samuel Hearne Middle School,329,329,,,,170,159,272,21,41
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4732,4732,Scarborough Village Public School,200,200,97,55,48,85,115,116,9,20
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2076,2076,Second Street Junior Middle School,540,540,265,170,105,296,244,215,9,40
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=1175,1175,Secord Elementary School,648,648,497,,,311,336,333,29,56
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=1178,1178,Selwyn Elementary School,197,197,113,,,94,103,62,2,11
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3011,3011,Seneca Hill Public School,297,297,181,,,133,164,243,4,37
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2008,2008,Seneca School,70,70,28,31,11,20,50,35,0,5
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2075,2075,Seventh Street Junior School,188,188,149,,,84,104,38,4,10
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3243,3243,Shaughnessy Public School,184,184,90,54,40,87,97,127,12,21
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3246,3246,Sheppard Public School,172,172,102,,,81,91,72,6,12
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5275,5275,Shirley Street Junior Public School,156,159,102,57,,74,85,54,4,3
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3247,3247,Shoreham Public Sports and Wellness Academy,245,245,184,,,128,117,134,9,7
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4730,4730,Silver Springs Public School,350,350,186,95,69,172,178,271,23,35
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=6250,6250,Silverthorn Community School,312,312,118,78,116,139,172,160,8,14
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2001,2001,Sir Adam Beck Junior School,358,358,257,,,173,185,104,4,8
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4315,4315,Sir Alexander Mackenzie Senior Public School,350,350,,,,184,166,288,6,19
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4731,4731,Sir Ernest MacMillan Senior Public School,312,312,,,,179,132,233,8,14
